,noten,tag
Kruidige tempehstoof met knoflookboontjes &amp; rijst,False,hoofdgerecht
"Portugese roerbak met krieltjes, cavolo nero &amp; kip",False,hoofdgerecht
Zoet-pittige gehaktballetjes met wokgroente en rijst ,False,hoofdgerecht
Hollandse roerbak met kapucijners &amp; opbakaardappeltjes,False,hoofdgerecht
Griekse traybake met kip &amp; muntyoghurt,False,hoofdgerecht
"Pompoenquiche met bloemkool, feta &amp; bladsla",False,hoofdgerecht
Rösti-maaltijdsoep,False,hoofdgerecht
Plaatpizza met spruitjes en salami,False,hoofdgerecht
Gegrilde wraps met tomaten-mangosalade,False,hoofdgerecht
Fish &amp; chips met knapperige appelsalade &amp; yoghurtsaus,False,hoofdgerecht
"Groene curry met kipdijfilet, noedels &amp; rode ui-koriandersalsa",False,hoofdgerecht
Naanbrood belegd met hummus &amp; geroosterde groente,False,hoofdgerecht
"Griekse rijstsalade met kipspies, dille &amp; olijven",False,hoofdgerecht
Linzen-aubergineschotel met abrikoos &amp; kaneel,False,hoofdgerecht
Italiaanse ricotta-omelet met gebakken tomaatjes,False,lunch
Quinoa-geitenkaassalade met rode biet &amp; parmaham,False,hoofdgerecht
Wentelteefjes zonder ei,False,lunch
Wentelteefjes zonder melk,False,lunch
Quinoaburgers met zwarte bonen,False,hoofdgerecht
Pokébowl tonijn,False,hoofdgerecht
Pokébowl kip,False,hoofdgerecht
Pannenkoeken zonder melk ,False,lunch
Moussaka met zoete aardappel,False,hoofdgerecht
Hutspot met spekjes,False,hoofdgerecht
Hutspot,False,hoofdgerecht
Flammkuchendeeg,False,lunch
Erwtensoep met rundvlees,False,hoofdgerecht
Courgettesoep met pesto,False,hoofdgerecht
Courgettesoep met spekjes,False,hoofdgerecht
Gezonde chili con carne,False,hoofdgerecht
Chili con carne origineel (Texas chili),False,hoofdgerecht
Gezonde broccolisoep,False,lunch
Pasta pesto vegetarisch,False,hoofdgerecht
Boerenkoolstampot met spekjes,False,hoofdgerecht
Eenpersoons-wentelteefjes,False,lunch
Stamppot rauwe andijvie,False,hoofdgerecht
Zeevruchten paella met kip &amp; sperziebonen,False,hoofdgerecht
Courgettelasagne met gehakt &amp; tomatensaus,False,hoofdgerecht
Thaise groene curry met garnalen en rijst,False,hoofdgerecht
Tuna melt aardappeltaart,False,hoofdgerecht
Traybake harissakip,False,hoofdgerecht
Mac and cheese met ham en broccolirijst,False,hoofdgerecht
Gevulde paprika’s met krokant kipgehakt,False,hoofdgerecht
Chili con carne met kikkererwten,False,hoofdgerecht
Makkelijke lasagne met spinazie,False,hoofdgerecht
Makkelijke gevulde paprika’s met tuna melt,False,hoofdgerecht
Makkelijke aardappel-preischotel,False,hoofdgerecht
Hartige taart met zwarte knoflook,False,hoofdgerecht
Pasta carbonara voor 1,False,hoofdgerecht
Eenpersoonskaasfondue,False,hoofdgerecht
Eenpersoonscurry,False,hoofdgerecht
Courgettelasagne (vegan &amp; koolhydraatbewust),False,hoofdgerecht
Appelringpannenkoeken,False,lunch
Mexicaanse maisfrittata met gehakt &amp; tomatensalsa,False,hoofdgerecht
Romige kip met groene groente &amp; citroen,False,hoofdgerecht
"Zoetzure pompoensalade met rode peper, feta en za'atar",False,lunch
Vegetarische noedelsoep met shiitake en paksoi,False,hoofdgerecht
"Tajine met zoete aardappel, wortel en dadels",False,hoofdgerecht
Kipdijfilet met zoete aardappel-spinaziesalade,False,hoofdgerecht
"Couscoussalade met gegrilde groenten, hummus en witte kaas",False,hoofdgerecht
Coq au vin van Donal Skehan,False,hoofdgerecht
Geroosterde bloemkool met tahinyoghurt van Donal Skehan,False,hoofdgerecht
Vietnamese karamelzalm van Donal Skehan,False,hoofdgerecht
Entrecote &amp; vijgen met balsamicoglazuur,False,hoofdgerecht
Couscous met gebakken rodekool,False,hoofdgerecht
Pitabroodjes met gebakken groenten en geitenkaas,False,hoofdgerecht
Mosselen met Italiaanse roerbakgroenten,False,hoofdgerecht
Snelle roerbak met kip en kokosmelk,False,hoofdgerecht
Verse ravioli bolognese met tomatensaus,False,hoofdgerecht
Quesadilla’s met Mexicaanse bonensalade,False,hoofdgerecht
"Pilav met peer, rozijnen en spinazie",False,hoofdgerecht
Preiquiche met Veluws gebraad en mosterd,False,hoofdgerecht
Wentelteefjes van Twents krentenwegge met nazomerfruit,False,lunch
Cheeseburger met gerookte kaas,False,hoofdgerecht
Shoarma-groentepakketjes met pitabrood,False,hoofdgerecht
"Kikkererwtenstoof met kokosmelk, kurkuma en spinazie ('the stew')",False,hoofdgerecht
"Noedels met paprika, biefstuk en ketjap",False,hoofdgerecht
Gevulde pasta &amp; romige tomatensaus,False,hoofdgerecht
"Stir-fry met sugarsnaps, biefstuk en oestersaus",False,hoofdgerecht
Tagliatelle met Italiaanse kaassaus en spinazie,False,hoofdgerecht
Linzensalade met warmgerookte zalm en mosterd,False,hoofdgerecht
Maaltijd-uienpastei van Nigella Lawson,False,hoofdgerecht
Tajine van konijnenbout met kaneel en abrikoos,False,hoofdgerecht
Spaghetti met tonijn en rucola,False,hoofdgerecht
Steak sandwich met gekaramelliseerde uien,False,lunch
"Snelle rijstbowl met velderwtjes, mango en gegrilde kip",False,hoofdgerecht
Groene minestrone met Parmezaanse kaas,False,hoofdgerecht
Zelfgemaakte surimisalade,False,lunch
Pasta Alfredo,False,hoofdgerecht
Spareribs uit de oven,False,hoofdgerecht
Chicken parmesan,False,hoofdgerecht
Veggielovers-pizza,False,hoofdgerecht
Zelfgemaakte ravioli met artisjok en pangrattato,False,hoofdgerecht
Italiaanse quiche met kip en salade caprese,False,hoofdgerecht
"Maaltijdsalade van romaine, sperziebonen en garnalen",False,hoofdgerecht
Gebakken gnocchi met gegrilde groenten en mozzarella,False,hoofdgerecht
Meergranenrijstsalade met avocado &amp; ei,False,hoofdgerecht
Spinazie-viskoekjes met volkorenpastasalade,False,hoofdgerecht
Spaghettitaart,False,hoofdgerecht
Volkorencouscoussalade met gegrilde kip,False,hoofdgerecht
"Maaltijdsalade van limabonen, tonijn en paprika",False,hoofdgerecht
Zomerse pastabowl,False,hoofdgerecht
Zomerrisotto met mozzarella-braadworstjes,False,hoofdgerecht
Bbq-pizza ai quattro formaggi van bierdeeg ,False,hoofdgerecht
Pizza con patate (aardappelpizza),False,lunch
Pizzabroodjes,False,lunch
Pizza bianca met truffelmascarpone,False,lunch
Pizza met worst en gegrilde groenten,False,hoofdgerecht
Piadina-panpizza met ham en rucola,False,lunch
Pizza marinara,False,hoofdgerecht
Lasagne al salmone van Mario Uva,False,hoofdgerecht
Citroenrisotto met garnalen en zeekraal,False,hoofdgerecht
Ciabatta met Grana Padano en abrikozenspread,False,lunch
Courgettespaghetti met kalkoensaltimbocca,False,hoofdgerecht
Pasta all’amatriciana (pittige tomatensaus met Pecorino),False,hoofdgerecht
Verse ravioli met tuinerwten-roomsaus,False,hoofdgerecht
Volkoren pasta met gehaktballetjes ,False,hoofdgerecht
Pasta pesto met ovengedroogde tomaatjes,False,hoofdgerecht
Orecchiette met worst en buffelmozzarella,False,hoofdgerecht
Sticky speklapjes met rozemarijnaardappeltjes,False,hoofdgerecht
Mangosalade met garnalentempura ,False,lunch
"Spaghetti met paprika, pesto &amp; buffelmozzarella ",False,hoofdgerecht
"Panzanella met tomaat, rode ui &amp; geitenkaas",False,hoofdgerecht
Open lasagne met ragout &amp; courgette,False,hoofdgerecht
 Libanese wraps met appel-koolsalade,False,hoofdgerecht
Worteltortilla’s met Hollandse garnalen,False,hoofdgerecht
Brabants worstenbrood van Houben,False,lunch
Zeeuwse mosselen van De Oesterij,False,hoofdgerecht
Quinoasalade met linzen,False,hoofdgerecht
"Pissaladière met rode paprika, ui en olijven",False,hoofdgerecht
Gebakken sliptong met zelfgemaakt visspecerijenzout,False,hoofdgerecht
Hotdogbuffet met knakwortel,False,lunch
Pastasalade met frisse groenten en walnoten,False,hoofdgerecht
Gegrilde varkenslapjes met rijst en pittige paksoi,False,hoofdgerecht
Spaghetti met mosselen en salade,False,hoofdgerecht
Stamppotje met andijvie en een gekookt ei,False,hoofdgerecht
"Pita's met kipnuggets, coleslaw en barbecuesaus",False,hoofdgerecht
Venkelrisotto met geitenkaas,False,hoofdgerecht
Pulled jackfruit-kerriesalade op een groentebroodje,False,lunch
Zomerstoof met tomaat en pangasius,False,hoofdgerecht
"Maaltijdsalade met rode biet, asperge, feta en rookvlees",False,hoofdgerecht
Groene voorjaarspizza,False,hoofdgerecht
Hollandse tomatenpizza,False,hoofdgerecht
Kipgyros-spies met Griekse salade,False,hoofdgerecht
Verse worst met knolselderijsalade,False,hoofdgerecht
Zalmpakketjes met Provençaalse groenten,False,hoofdgerecht
Gegrilde halloumi met watermeloensalsa en couscoussalade,False,hoofdgerecht
Beefburger op groentebroodje,False,hoofdgerecht
Smokey asperge-tomaatsalade met feta,False,lunch
Flank steak pinwheels (gevulde bavetterollade) van Jord Althuizen,False,hoofdgerecht
Bbq slow smoked picanha met appelciderrelish van Jord Althuizen,False,hoofdgerecht
Groninger mosterdsoep van Abrahams mosterdmakerij,False,lunch
"Veldsla met aardbeien, spekjes, en gorgonzola",False,hoofdgerecht
Broodje krokante kip met avocado &amp; redhot sauce,False,lunch
"Malse kip met bloemkoolrijst, linzen &amp; Parmezaanse kaas",False,hoofdgerecht
Bloemkoolrijst met groene groenten &amp; gegrilde kip ,False,hoofdgerecht
"Röstiplaattaart met pesto, courgette &amp; mozzarella",False,hoofdgerecht
Burger met peri-perikip &amp; spitskoolsalade,False,hoofdgerecht
Mexicaanse tortilla met ijsbergsla en peen julienne,False,hoofdgerecht
"Mexicaanse bowl met gegrilde kip, ananas &amp; courgettetortilla",False,hoofdgerecht
Spaanse paprika-chiliburger met zoete-aardappelfriet,False,hoofdgerecht
Pasta met gerookte makreel met venkel &amp; gremolata,False,hoofdgerecht
Ravioli met asperges &amp; garnalen,False,hoofdgerecht
Rijkgevulde groentebowl met tonijn &amp; pittige dressing,False,hoofdgerecht
Broodje kalkoenfilet met geitenkaas &amp; zoete mosterd,False,lunch
"Tagliatelle met burrata, run­der­chi­po­la­ta en to­ma­ten-pa­pri­kasaus",False,hoofdgerecht
Spinaziecurry met paneerkaas &amp; naanbrood,False,hoofdgerecht
Vegakroketten van pulled jackfruit,False,hoofdgerecht
Varkenshaasspies met rabarbersalsa,False,hoofdgerecht
Gegrilde kip-spiesjes van de BBQ met pindasaus en wortelsalade,False,hoofdgerecht
Eenpersoonsrisotto,False,hoofdgerecht
Ultieme eenpersoons hamburger,False,hoofdgerecht
Shaslick in Libanees brood,False,hoofdgerecht
Taco’s alambre met salsa casera van Los Pilones,False,hoofdgerecht
In yoghurt gemarineerde kip,False,hoofdgerecht
Gegrilde entrecote met salsa verde,False,hoofdgerecht
Asperge-zalmspiesen met wasabimayo,False,hoofdgerecht
"Bietentortilla met rode pesto, kipfilet en basilicum",False,lunch
Snelle groene gazpacho,False,lunch
Gebakken schelvis met venkelsalade en geroosterde aardappelpartjes,False,hoofdgerecht
Bloemkoolquiche met tonijn en gegrilde paprika,False,hoofdgerecht
Kipburger tonnato,False,hoofdgerecht
Minitortilla’s met pulled chicken en avocadosalsa,False,hoofdgerecht
Rijstschotel met varkensfiletlapjes,False,hoofdgerecht
Gevulde zoete aardappel met bonensalade,False,hoofdgerecht
Griekse salade,False,hoofdgerecht
"Lasagne met ham, ricotta &amp; spinazie",False,hoofdgerecht
"Lenterisotto met snijbonen, tuinbonen &amp; lamsworstjes",False,hoofdgerecht
Vegetarische pasta met tomatensaus en mozzarella,False,hoofdgerecht
Tagliatelle met kipsaltimbocca en snijbonen,False,hoofdgerecht
Romige courgettequiche met Paturain,False,hoofdgerecht
Spaghetti met ricotta-pestosaus &amp; krokante ham,False,hoofdgerecht
Krieltjessalade met rivierkreeftjes &amp; romige bieslookmayo,False,hoofdgerecht
"Paasbroodjes met gerookte zalm, kaas &amp; beenham",False,lunch
Frisse yoghurt met fruit &amp; kokos,False,lunch
Noedels met kipgehakt &amp; hoisin woksaus,False,hoofdgerecht
Tunesische shakshuka met gehaktballetjes,False,hoofdgerecht
Taco’s met vegan pulled jackfruit,False,hoofdgerecht
Gebakken balsamico-filetlapjes met polenta &amp; Italiaanse roerbakgroente,False,hoofdgerecht
"Courgettesoep met gerookte zalm, eikruim &amp; soepstengels",False,lunch
Soufflé pancakes,False,lunch
"Risotto van bloemkool met spekjes, ricotta &amp; pompoenpitjes",False,hoofdgerecht
Runderkebab met yoghurtdip &amp; courgette-kaneelcouscous,False,hoofdgerecht
Snelle Italiaanse voorjaarsstoof (vignarola),False,hoofdgerecht
Preiquiche met kip en brie &amp; een salade van snoeptomaatjes,False,hoofdgerecht
"Risotto met tuinerwten, spek en ui",False,hoofdgerecht
Maaltijdsalade met beurre noisette-dressing,False,hoofdgerecht
Meatloaf met verstopte eieren,False,hoofdgerecht
"Plaattaart van zoete aardappel, rode biet en feta  ",False,hoofdgerecht
Preirösti &amp; frisse sla met kip en noten,False,hoofdgerecht
Frittata met lamsspiesen,False,hoofdgerecht
Tacobowl met zoete aardappel,False,hoofdgerecht
Schelvis met fris lentestamppotje,False,hoofdgerecht
Kalkoensaltimbocca's met snijbonen en aardappelpartjes,False,hoofdgerecht
Lenteburger,False,hoofdgerecht
Zalmfilet op de huid met lauwwarme krieltjessalade,False,hoofdgerecht
Sushisalade met warmgerookte zalm,False,hoofdgerecht
Frisse quiche met flame roasted zalm,False,hoofdgerecht
Gnocchi met vegetarische bolognesesaus,False,hoofdgerecht
"Lentequiche met asperges, broccoli en garnalen",False,hoofdgerecht
"Croissant gevuld met roerei, gerookte zalm en veldsla",False,lunch
Preistamppot met tonijn &amp; gekookt ei ,False,hoofdgerecht
Sushibowl met tofu en avocado ,False,hoofdgerecht
Bagel met kip-samba &amp; salade,False,lunch
Auberginesalade met krokante rösti ,False,hoofdgerecht
Kipburgers met gekaramelliseerde ui en piccalilly,False,hoofdgerecht
Pasta met ratatouille en gebakken ricotta,False,hoofdgerecht
Verse groene loempia's ,False,lunch
Ontbijtpizza met lentegroenten en gebakken ei,False,lunch
Kokospannenkoekjes met vers fruit,False,lunch
Homemade lentepasteitjes met ham &amp; henneneitjes,False,hoofdgerecht
Groene lenteminestrone met Hollandse garnalen &amp; kabeljauw,False,hoofdgerecht
Gestoofde lamsschenkels met lentegroenten &amp; dragon-gremolata,False,hoofdgerecht
Katsu curry,False,hoofdgerecht
Groene-groentesoepje met aspergetips en pancetta,False,hoofdgerecht
"Pastasalade met avocado, veldsla en feta",False,hoofdgerecht
Maaltijdsalade met groene groenten en tonijn,False,hoofdgerecht
Babka met spinazie en halloumi,False,lunch
Romige risotto met parmezaan &amp; tuinkers,False,hoofdgerecht
Mexicaanse pizza,False,hoofdgerecht
Homemade broccoli-kipburgers met komkommersalade,False,hoofdgerecht
Indiase kipcurry met pompoen &amp; bloemkoolrijst,False,hoofdgerecht
Tacobowl met kidneybonenchili,False,hoofdgerecht
Tantanmen ramen,False,hoofdgerecht
Ramen met paddenstoelen en Chinese kool,False,hoofdgerecht
"Pizza van bloemkool met tonijn, broccoli, citroen &amp; rode ui",False,hoofdgerecht
Eenpersoons vega cottage-pie,False,hoofdgerecht
Belgische kippensoep,False,hoofdgerecht
Carbonade flamande,False,hoofdgerecht
Patatje stoofvlees,False,hoofdgerecht
Uiensoeptosti,False,lunch
Laksa met garnalen,False,hoofdgerecht
Snelle bouillabaisse met croutons,False,hoofdgerecht
Bloemkoolrijst met roergebakken biefstuk &amp; aspergebroccoli,False,hoofdgerecht
Borsjt met dille en sour cream,False,hoofdgerecht
Perzische yoghurtsoep,False,hoofdgerecht
Vietnamese pho,False,hoofdgerecht
Vistortilla's met kibbeling en Mexicaanse groenten,False,hoofdgerecht
Kip met witlofsalade en ovenfriet,False,hoofdgerecht
Couscous met Thaise groenten en curryburger,False,hoofdgerecht
'Foeyonghai' met bami,False,hoofdgerecht
Italiaanse bolognese quiche,False,hoofdgerecht
"Vislasagne met kabeljauw, gerookte zalm en spinazie",False,hoofdgerecht
Spruitjesstamppot met shoarma en knoflooksaus,False,hoofdgerecht
Citroenrisotto met kabeljauw,False,hoofdgerecht
Chowder met gerookte makreel van Yvette van Boven,False,hoofdgerecht
"Pindasoep met bruine bonen, omeletreepjes en taugé",False,hoofdgerecht
Snelle kippensoep met Libanese wraps,False,hoofdgerecht
Broccoli-spinaziesoep en toast met kip en avocado,False,hoofdgerecht
Verse tomatensoep met tortillapizza,False,hoofdgerecht
Boerenkoolstamppot vegetarisch met ingemaakte ui,False,hoofdgerecht
"Ovenschotel met pasta, groenten en rauwe ham",False,hoofdgerecht
Pappardelle met Italiaanse ragú,False,hoofdgerecht
Sushibowl met gerookte zalm en garnalen,False,hoofdgerecht
Pappardelle met romige walnoten-spinaziesaus &amp; biefstuk,False,hoofdgerecht
Ovenpasta met Italiaanse groenten &amp; kaas,False,hoofdgerecht
Gnocchi in tomatensaus met groenten,False,hoofdgerecht
Aziatische roerbak met gekruide kip,False,hoofdgerecht
Zalm-komkommersandwich,False,lunch
Witte-koolsalade met karwijzaad en rozijnen,False,hoofdgerecht
Paddenstoelenrisotto met paprika,False,hoofdgerecht
Pappardelle met warmgerookte zalm en artisjok,False,hoofdgerecht
Pompoencurry met kipdijfilet en bloemkool,False,hoofdgerecht
Lasagne met gruyere en bechamelsaus,False,hoofdgerecht
"Ovenschotel met hachee, rodekool en puree",False,hoofdgerecht
Beef rendang met basmatirijst,False,hoofdgerecht
Flammkuchen met spek en ui,False,hoofdgerecht
Mexicaans gevulde courgette met avocadosalsa,False,hoofdgerecht
"Penne met gehaktballetjes, courgette &amp; broccolisaus",False,hoofdgerecht
Vegan 'omelet' met champignons,False,lunch
"Bietentaco’s met zalm, avocado en radijs",False,hoofdgerecht
Volkoren pasta met avocadosaus en gehakt van tartaar,False,hoofdgerecht
Volkorenpasta met spinazie en tonijn,False,hoofdgerecht
Eenpersoonspasta met preisaus &amp; knoflook garnalen,False,hoofdgerecht
Ovengeroosterde pompoenstamppot met lichtpittige kip,False,hoofdgerecht
Boerenhutspot met filetlapjes en gebakken uien,False,hoofdgerecht
Kabeljauwburger op een volkorenbol met coleslaw,False,hoofdgerecht
Quinoasalade met gegrilde rodekool ,False,hoofdgerecht
Traybake met zalm,False,hoofdgerecht
Spicy volkorennoedels met broccoli en garnalen,False,hoofdgerecht
"Buddhabowl met bulgur, broccolirijst en champignons",False,hoofdgerecht
Gegrild brood met romige kruidensalade en garnalen,False,lunch
Volkorentosti met biet en geitenkaas,False,lunch
Niçoise 'to go' met bonen,False,lunch
Zoete-aardappelpizzaatjes,False,lunch
"Koolwraps met vegagehakt, komkommer en radijs",False,lunch
Gezonde lasagne,False,hoofdgerecht
Gele-linzenspaghetti met knolselderij,False,hoofdgerecht
Witte bonen in tomatensaus met bloemkool en gegrilde kip,False,hoofdgerecht
Veldslastamppot met grove mosterd &amp; gebakken schol,False,hoofdgerecht
Kiphaasjes met rozemarijnaardappeltjes &amp; tomaten-sperziebonensalade,False,hoofdgerecht
Hertenbiefstuk met homemade blauwe-bessen-cranberrysaus,False,hoofdgerecht
"Piadine met Hollandse garnalen, oude kaas, appel &amp; selderij",False,lunch
Volkorenflensjes met blauwe bessen en ricotta,False,lunch
"Volkoren-clubsandwich met kipfilet, sla en ei",False,lunch
Volkorentonijnsandwich,False,lunch
"Rijkgevulde pompoen met linzen, paddenstoelen &amp; granaatappel",False,hoofdgerecht
Geroosterde kip met cranberryglaze,False,hoofdgerecht
Zalmfilet met zwartepeper-mierikswortelrub,False,hoofdgerecht
Boerenkool-knolselderijstamp met rookworstcroutons,False,hoofdgerecht
Supersnel spicy bonensoepje met guacamole,False,lunch
Broodje spicy kalkoenschnitzel,False,lunch
Italiaanse tomatensoep met kipgehaktballetjes,False,hoofdgerecht
"Ratatouille met aubergine, courgette, aardappel &amp; camembert",False,hoofdgerecht
"Spaghetti met ei, vega spekreepjes &amp; geroosterde bloemkool",False,hoofdgerecht
"Varkenshaas met gevulde ravioli, paddenstoelen &amp; peultjes",False,hoofdgerecht
Ovenschotel met chipolata en hummus,False,hoofdgerecht
Wildzwijnsteak met paddenstoelenroomsaus en gepofte truffelaardappel,False,hoofdgerecht
Hele franse maiskip,False,hoofdgerecht
Duivenfilet met linzen en druiven,False,hoofdgerecht
Confit de canard met zuurkool en krieltjes,False,hoofdgerecht
Wilde fazantendij met cavolo nero,False,hoofdgerecht
Wildtrio met beurre noisette en roergebakken rode kool ,False,hoofdgerecht
"Poussin met prei, vermout en dille",False,hoofdgerecht
Hazenbout met spek en peterselie en aardperen,False,hoofdgerecht
Hertengoulash,False,hoofdgerecht
Reerugfilet in rodewijnsaus en bramen met geroosterde spruiten,False,hoofdgerecht
"Romige tagliolini met gerookte zalm, witlof &amp; cherrytomaatjes",False,hoofdgerecht
Pizza bianca met rauwe parmaham,False,hoofdgerecht
Eenpersoons kipsaltimbocca met linguine,False,hoofdgerecht
Kerstsandwich en wentelteefjes,False,lunch
Kaiserbroodjes gevuld met ei en ham,False,lunch
Italiaanse champignonburger met mozzarella &amp; witlofsalade,False,hoofdgerecht
"Ovengroente met feta, gnocchi, frisse yoghurt &amp; een gekookt eitje",False,hoofdgerecht
Hele bloemkool in bladerdeeg,False,hoofdgerecht
Gebraden kipfilet met cranberrysaus,False,hoofdgerecht
Beenham met ovenaardappelen en asperges in spek,False,hoofdgerecht
Tomatentartaar op toast met ’n gepocheerd eitje,False,lunch
"Belgische stoofpot met bruin bier, wortel &amp; pastinaak ",False,hoofdgerecht
American pancakes met blauwe bessen en ahornsiroop,False,lunch
Truffel-eiersalade met avocado,False,lunch
Overnight boekweit,False,lunch
Groente-speltcrackers,False,lunch
Groente-volkorencrackers,False,lunch
"Zalm met venkel, sinaasappel en verse kruiden",False,hoofdgerecht
Indiase sandwich gebakken kip met eisalade,False,lunch
Rijkgevulde pistolet met oude kaas,False,lunch
Mexicaanse ovengroente met een gebakken eitje,False,hoofdgerecht
"Lasagne van pompoen met rode biet, mascarpone &amp; geitenkaas",False,hoofdgerecht
"Stamppot met andijvie, vegaballetjes &amp; Amsterdamse-uienjus",False,hoofdgerecht
Gekruide côte de boeuf met Vietnamese salsa,False,hoofdgerecht
Ossenhaas met rodewijnsaus &amp; zoete-aardappelstamppot met waterkers,False,hoofdgerecht
Feestelijke zalmtaart,False,hoofdgerecht
"Parelcouscous met geroosterde biet, artisjok, mozzarella &amp; pancetta",False,hoofdgerecht
Hartige taart met zoete puntpaprika &amp; oude kaas ,False,hoofdgerecht
"Kabeljauw met een krokant laagje, ovengroenten &amp; parelcouscous",False,hoofdgerecht
Penne alla Norma,False,hoofdgerecht
"Aziatische hotdog met rodekool, avocado &amp; tahindressing",False,lunch
Tagliatelle carbonara met kip &amp; sperziebonen,False,hoofdgerecht
Cottage pie met doperwten-linzen-maismix,False,hoofdgerecht
Gnocchi met mosterd-roomsaus,False,hoofdgerecht
Kiprolletjes met cranberry-rodekool,False,hoofdgerecht
Gevulde pasta met tomatensaus,False,hoofdgerecht
Romige kipcurry met rijst en sperziebonen,False,hoofdgerecht
"Pasta pesto met broccoli, knoflookkruim en cherrytomaten",False,hoofdgerecht
Nachoschotel met tomatenblokjes en geraspte kaas,False,hoofdgerecht
Geroosterde bloemkool met slavink en aardappelpuree,False,hoofdgerecht
"Gebraden kippendij met peen, kikkererwten en koriander",False,hoofdgerecht
Vegan tofu bowl met quinoa,False,hoofdgerecht
"Romige spaghetti met spinazie, zalm en garnalen",False,hoofdgerecht
Rodekool- en bietenstamppot met rookworst,False,hoofdgerecht
Vergeten-groentesoep met stokbroodje knoflookboter,False,hoofdgerecht
Aziatische roerbak met vegaschnitzel &amp; radijs,False,hoofdgerecht
Italiaanse ovenschotel met salami,False,hoofdgerecht
Rode-bietensalade met vijgcranberryhummus en kikkererwten,False,hoofdgerecht
"Mexicaanse bonensoep met krokante, gerookte tofureepjes",False,hoofdgerecht
Geroosterde aubergine met linzen &amp; komkommercouscous,False,hoofdgerecht
Pompoentosti met ricotta en truffel,False,lunch
Thaise burgers met komkommersalade,False,hoofdgerecht
Salade van paarse peen,False,lunch
Falafelwafel met hummus en een groene salade,False,hoofdgerecht
Mini-bloemkoolpizza's,False,hoofdgerecht
"Zalm teriyaki met kokos-aardappelpuree, broccoli en shiitakes",False,hoofdgerecht
Vegashoarma met komkommersalade &amp; flatbreads,False,hoofdgerecht
Pittige roerbak van biefstuk met rodekoolsalade &amp; rijst,False,hoofdgerecht
Groente-hamlasagne met ricotta,False,hoofdgerecht
"Gadogado met krieltjes, homemade pindasaus en gebakken ei",False,hoofdgerecht
Groenteroerbak met zilvervliesrijst en omeletreepjes,False,hoofdgerecht
"Zoete-aardappelstamppot met prei, geitenkaas en walnoten",False,hoofdgerecht
"Vegastoof met gele paprika, broccoli &amp; basmatirijst",False,hoofdgerecht
Verse tagliatelle met polpettes in tomatensaus,False,hoofdgerecht
Oventosti met vegagehackt en geitenkaas,False,lunch
Zoete-aardappelschotel met kabeljauw,False,hoofdgerecht
Visragout uit de oven met prei en volkorencrumble,False,hoofdgerecht
Geroosterde tomaten-pompoensoep,False,hoofdgerecht
Gebakken hertenbiefstuk met perenchutney,False,hoofdgerecht
Schnitzel met krieltjes en kerriebloemkool,False,hoofdgerecht
"Plaattaart met pompoen, spruiten, salie en romige gorgonzola",False,hoofdgerecht
Zweedse vegaballetjes met aardappel &amp; broccoli,False,hoofdgerecht
Pittige plaattaart met worst &amp; mozzarella,False,hoofdgerecht
Geroosterde 'pekingkip' met hoisinsaus,False,hoofdgerecht
Couscous met feta en geroosterde groenten,False,hoofdgerecht
"Traybake met zalm, aardappel en rode ui",False,hoofdgerecht
"Nasi met ham, ei en pittige paksoi",False,hoofdgerecht
Thaise groene curry met kabeljauw en doperwten,False,hoofdgerecht
Lasagnette met aubergine-tomatensaus &amp; ricotta,False,hoofdgerecht
Rundvlees in rode wijn met pasta,False,hoofdgerecht
Pompoencurry met ui en bloemkool,False,hoofdgerecht
Knol­sel­de­rij­huts­pot met ve­ge­ta­ri­sche rook­worst,False,hoofdgerecht
Currysoep met visballetjes,False,hoofdgerecht
"Indiase curry met naanbrood, pompoen &amp; paneer",False,hoofdgerecht
Mexicaanse kipschotel met broccolisalade &amp; feta,False,hoofdgerecht
Geroosterde ovengroenten met ricotta &amp; kappertjes,False,hoofdgerecht
Homemade vissticks met boontjes &amp; citroenmayo,False,hoofdgerecht
Aziatisch gemarineerde varkensspies met Chinese wokgroente,False,hoofdgerecht
"Tostada's met avocado, ei &amp; limoen-tomatensalsa",False,hoofdgerecht
Gewokte biefstukpuntjes met groente en rijst,False,hoofdgerecht
Romige polenta met Italiaanse groenten en een eitje,False,hoofdgerecht
Italiaanse bladerdeegtaartjes met worst en tomatensalsa,False,lunch
Flammkuchen met bloemkoolbodem,False,hoofdgerecht
"Omelet met aubergine, kip en cottage cheese ",False,hoofdgerecht
"Salade met quinoa, edamame en rosbief",False,hoofdgerecht
Gegrilde biefstukspies met platbrood &amp; chimichurri,False,hoofdgerecht
Rijkgevulde Italiaanse omelet met groenten &amp; cannellinibonen,False,hoofdgerecht
Vegetarische Mexicaanse chiliburger met groentefriet &amp; salade,False,hoofdgerecht
Berenpizza's,False,lunch
"Gele curry met linzen, paprika &amp; malse kip",False,hoofdgerecht
Gekruide rösti &amp; wortel met een zachtgekookt eitje,False,hoofdgerecht
Rijkgevulde Libanese salade falafel met hummus,False,hoofdgerecht
"Kabeljauwburger met prei, ovenaardappeltjes en witlofsalade",False,hoofdgerecht
Halloween pokébowl,False,hoofdgerecht
Biologische courgetteomelet met ricotta &amp; veldsla,False,lunch
Huzarensalade met zoete aardappel,False,lunch
'Burrito'-schotel met knapperige tortillapuntjes,False,hoofdgerecht
